id,created_at,user_screen_name,user_location,user_description,full_text
1537165911421071369,2022-06-15 20:11:27+00:00,Toronto_nian,#TorontoTheGood,"Toronto's Own ❤️The Voice of Toronto❤️
News/Events from Toronto & our multicultural people!
Send your news/events:👉events@TheTorontonian.com 
#BeTorontoProud🤘","@JoshMatlow -Re: ActiveTO - IN OUR VIEW: On the contrary to calls minimize ActiveTO, MORE CAR RESTRICTIONS into city core should apply on wnd to help w/pollution reduction &amp; encourage use of #TTC, perhaps a special wnd TTC-fair &amp; parking fee at TTC-lots will help tremendously)!🤔"
1537165891913363457,2022-06-15 20:11:22+00:00,phil_christman,Ann Arbor,"“…one of the best essayists in America”—TLS. https://t.co/ZwWwAjQ552. Order ""How to Be Normal: Essays"" https://t.co/KB62vYyJII….",RT @aaron_con_choco: NEW: An under-the-radar bill in the #caleg would finally raise penalties for oil and gas refinery pollution after year…
1537165870736318466,2022-06-15 20:11:17+00:00,knowmiun,"New York, USA",Research & Ethics in the Anthropocene 𓄂𓃭  𝑇ℎ𝑒𝑦/𝑇ℎ𝑒𝑚 #intersectionalecologist,@MattBruenig @StvBurns @pareene @NYCMayor @wcbs880 ..literally Scheming with Hochul to veto the hard fought crypto mining bill passed in NYState. Idiot @NYCMayor literally plans to increase fossil fuel consumption and pollution instead of letting kids swim this summer 🤦‍♂️
1537165861768900609,2022-06-15 20:11:15+00:00,ReviewerGolden,Wahlschweiz,"""Die Skeptiker folgen dem, was sich bewährt hat, Nicht-Skeptiker aber dem, was sie für gewiss halten.“
Erasmus von Rotterdam",RT @dwallacewells: “China has reduced air pollution nearly as much in seven years as the US did in three decades…. The amount of harmful pa…
1537165830286352390,2022-06-15 20:11:07+00:00,rmpsteel1,,"Christ Jesus music sports&motor sports, gaming, I'm an OG gamer, fishing (a short Bio) also on Gab. SFA Steel
@Acesteelrmp",@Charlen60403930 Not done yet nuclear fusion a source of energy barely tapped but Nations like France used it successfully no meltdowns no nothing but they've shut theirs down and relying on who? Russia. Are you tired of paying for other people's pollution? Because you are we get our oil and gas-
1537165814729625600,2022-06-15 20:11:04+00:00,ronmc1,Canada,Networker for 29 years! Lets go,Boeing Mulls a 787 Freighter as Tougher Air Pollution Rules Loom https://t.co/siRtv2Y2Oe
1537165813974814722,2022-06-15 20:11:03+00:00,carboncopy_eco,Britain,"🌎 We showcase inspirational local change makers and their high-impact, low-carbon projects.💡Share your project with us!  🎙Podcast: #CopyThisPod","🗣️ Good news for reducing pollution levels 👏

Low Traffic Neighbourhoods offer benefits, but next-generation must make room for improvement in design, community engagement and support for local residents.

Read more @airqualitynews:👇
https://t.co/Tp6yr3iGDq https://t.co/PtAzu6syaB"
1537165774183206912,2022-06-15 20:10:54+00:00,AceHoffman,"Carlsbad, CA","2X cancer survivor (thank you blood donors, Dr.s, staff!)
Computer programmer (Owner: https://t.co/sS99XUG0IC)
Author: The Code Killers: (a free pdf on nukes).","RT @Suzwarto: ""Producing atomic power includes uranium mining, milling, purification, enrichment, and fabrication. These emit six to 24 tim…"
1537165772300206080,2022-06-15 20:10:53+00:00,Chidiogo_Ezeh1,chidiogo.ezeh@agric.uniben.edu,"Literally an Intellectual, Sustainable Agriculture Practitioner, Veggie Farmer #Algorand Enthusiast.","RT @FAO: Overfishing, pollution &amp; climate change threaten the coastal ecosystems that millions of artisanal fishers &amp; fish workers depend o…"
1537165755350933504,2022-06-15 20:10:49+00:00,arclight2011,Ireland,"Bunny Hugger (apparently)
Ad amplexus lepus (videtur)","RT @Suzwarto: ""Producing atomic power includes uranium mining, milling, purification, enrichment, and fabrication. These emit six to 24 tim…"
1537165750967869445,2022-06-15 20:10:48+00:00,Spudz_MacKenzi,"Flavor Town, USA",,"RT @nickwabraham: Maryland passed strongest carbon pollution reduction goal in the country, committing the state to net-zero climate emissi…"
1537165745049808897,2022-06-15 20:10:47+00:00,Safyuan,,Nkrumah-Touréist,"RT @justinpodur: The West says there is no alternative but to accept:

-Increasing air pollution
-Shitty terms of trade and finance for poo…"
