id,created_at,user_screen_name,user_location,user_description,full_text
1537165721473531907,2022-06-15 20:10:41+00:00,Richie_pedro34,Nigeria,,RT @ValaAfshar: This is the future of AI powered smart and sustainable energy cities https://t.co/sxjiT9Ngik
1537165612971180033,2022-06-15 20:10:15+00:00,Saint_Obama,SE FL,"Life's too short not to laugh. Sarcasm is my 2nd language. #Conservative #Jesus #Constitution #NoGMO #TrumpWon #2000Mules 
...Now New & Improved Ultra MAGA","@cabot_phillips Government coercion for vaccines
Lab created fake baby formula
Lab created fake beef
Smart cities with track &amp; trace 
Social credit scores 

All profit Bill Gates."
1537164921091174400,2022-06-15 20:07:30+00:00,anwarmd1905,"Hyderabad, India","😎Never Give Up😎

“Try to be a rainbow in someone's cloud.” 

“Do good and good will come to you.”","RT @TheDeshBhakt: Acche Din,
Make In India,
100 smart cities,
$5 trillion economy,
Crores of New Jobs,
Black Money Return,
Farmer Income Do…"
1537164322765520902,2022-06-15 20:05:08+00:00,the_bitternut,,"Dreamer , Achiever , Traveler","RT @TheDeshBhakt: Acche Din,
Make In India,
100 smart cities,
$5 trillion economy,
Crores of New Jobs,
Black Money Return,
Farmer Income Do…"
1537164159166476288,2022-06-15 20:04:29+00:00,ItagiRonad,"Karnataka, India",I'm no one,"RT @TheDeshBhakt: Acche Din,
Make In India,
100 smart cities,
$5 trillion economy,
Crores of New Jobs,
Black Money Return,
Farmer Income Do…"
1537164018091180041,2022-06-15 20:03:55+00:00,Octopusmendez,Nigeria,General Merchandise,RT @MbahKizito: @john_danfulani @BolanleCole A country that has moved from 6th best place of investing for investors in 2014 to number 1 in…
1537163740604682240,2022-06-15 20:02:49+00:00,goodnam65674750,,,"RT @TheDeshBhakt: Acche Din,
Make In India,
100 smart cities,
$5 trillion economy,
Crores of New Jobs,
Black Money Return,
Farmer Income Do…"
1537163699777064964,2022-06-15 20:02:39+00:00,milanmatijevic,Serbia,One person can change everything - Sofia’s father,RT @ValaAfshar: This is the future of AI powered smart and sustainable energy cities https://t.co/sxjiT9Ngik
1537162948019355649,2022-06-15 19:59:40+00:00,osita4stringz,"Abuja, Nigeria","A crazy crypto lover, follow for updates. Positive vibes and enough cruise 💪🙏🙌. A bass player 😂 & a civil engineer",RT @firstladyship: Egypt is relocating its entire slums to newly built cities with $25 billion. How much has Buhari borrowed so far? Imagin…
1537162709187596288,2022-06-15 19:58:43+00:00,Bryan10773975,Chandigarh,,"RT @TheDeshBhakt: Acche Din,
Make In India,
100 smart cities,
$5 trillion economy,
Crores of New Jobs,
Black Money Return,
Farmer Income Do…"
1537162609551585280,2022-06-15 19:58:19+00:00,urstrulyAmer,"Medak,Yakutpura,Hyderabad",Techie n Proud Indian . Re-tweets are not endorsements:),"RT @SirKazamJeevi: Now Bhakts and LapDog media will do non stop naagin dance over 10 Lac jobs

As they did over 100 smart cities, 2 Cr jobs…"
1537162354391240705,2022-06-15 19:57:19+00:00,AndersRiel,Copenhagen,City and regional planning. @smartcityuis @UniStavanger. Cultural Political Economy. Social and spatial justice. Post-fossil futures. Views are my own.,Kicking off the Beyond Smart Cities conference with a nice welcome by the Mayor of Malmö followed by a very neat dinner at the city hall. https://t.co/VN3S1CxYvF
1537162274225328128,2022-06-15 19:56:59+00:00,4charactersless,"Swach Bharat, Smart City. ","I hate quotations, tell me what you know-RW Emerson.","RT @TheDeshBhakt: Acche Din,
Make In India,
100 smart cities,
$5 trillion economy,
Crores of New Jobs,
Black Money Return,
Farmer Income Do…"
