id,created_at,user_screen_name,user_location,user_description,full_text
1537165606335746055,2022-06-15 20:10:14+00:00,Lucy_simplyLucy,,'If liberty  means anything at all it means the right to tell people what they do not want to hear' G. Orwell.,"RT @JesseKellyDC: Dear America,

The government shut down your job, destroyed the value of your dollar, made you wear a useless mask, stopp…"
1537165605761073155,2022-06-15 20:10:14+00:00,BirrenbachC,,"So yeah our freedom is under attack. Just Sayin!! I stay on the harvest. Musician, Trucker, Patriot, R.E. Investor & Coder. 💥🇺🇸🪖💪😎 GEN-X","RT @GerardDelaney39: 🚨🚨""He had myocarditis.""

""@rgvrunner01 son died in front of his best friend.""

""Ernest Ramirez, Jr, died of a heart at…"
1537165605509312514,2022-06-15 20:10:14+00:00,Jocelynmarie99,,"Canadian navy wife, mother of teenagers and dog, lover of animals. No DM’s, please!🇨🇦🇺🇦#IStandWithUkraine",RT @iamdavidmiller: Vaccine mandates have little or nothing to do with delays at Pearson- it’s lack of staff due to wages/poor working cond…
1537165604930482176,2022-06-15 20:10:14+00:00,Chez89928786,Australia ,"All about the Truth
4th account",RT @ChrisLXXXVI: Vaccine passports were only the beginning. https://t.co/MP0Kgis5uf
1537165604402122752,2022-06-15 20:10:13+00:00,PoliticsTBTimes,"Tampa Bay, Florida",Don't miss a minute of Florida politics with our award-winning team: @allisonsross @kirbywtweets @lmower3 @langstonitaylor @romyellenbogen,"Florida only state not to preorder COVID vaccine for young kids, report says https://t.co/ieNY9cVg5K"
1537165604125396993,2022-06-15 20:10:13+00:00,itshullabalulu,NC,"Tweeting mostly Covid news, politics, and current events. Not MAGA, red nor blue. RT does not = endorsement https://t.co/eLF35mAgCd","RT @ljmontello: More people have died from Covid under Biden than Trump.

Despite undercounting cases &amp; changing the guidelines on counting…"
1537165601893978112,2022-06-15 20:10:13+00:00,TyberZannxxxx,"Blackwood, NJ, USA",Unemployed; Formerly worked at The Arc of Camden County; Former Camden County College student,RT @CDCemergency: It’s never too late to get the added protection of #COVID19 vaccine boosters. You are protected best from COVID-19 when y…
1537165601373831169,2022-06-15 20:10:13+00:00,BrianGMJames,United States ,"The GM of ROTM. Die hard Dallas Cowboys fan!!!!!Writer, production assistant and Co-host of Return of the Mack",@RyanAFournier @WrestlingIsKing So you just don't understand how the vaccine works there do you?
1537165598362419200,2022-06-15 20:10:12+00:00,meytayr,The Internet of Homelands,"our national life was announced May 18th, 2022 powered by your incredible transition #UsageCutMesh replaces #ThePowerhouseSector",RT @DrEricDing: BREAKING—FDA says the #COVID19 vaccine made by Pfizer for children &lt;5 is effective in producing a virus-blocking response a…
1537165597947092993,2022-06-15 20:10:12+00:00,ksamgnet1,"Guelph, Ontario","Not a fan of Trudeau and his cronies.
Some tweets might be parody some not.
Don't drink and tweet or use slang. You'll land in twitter jail.",RT @brianlilley: Are you ready for a return of vaccine mandates in the fall and a new definition of fully vaccinated? The @JustinTrudeau go…
1537165596474937344,2022-06-15 20:10:12+00:00,cady_stanton,"Washington, DC",Breaking news/NOW reporter @USATODAY | she/her,"Don't miss out on @kweintraub and @AdriannaUSAT's lightning-fast coverage of important COVID vaccine news for the youngest kids in recent weeks, including today's big development: https://t.co/LDBBrbiSOU"
1537165596101517312,2022-06-15 20:10:11+00:00,randomhandle92,,Staunch supporter of my family and friends who have served and to those who have paid the ultimate sacrifice. Lives in Canadastan. Grammar is sparsely used here,"RT @Sid_Seixeiro: Ryan Whitney recently called Pearson International Airport ""the biggest disgrace known to man."" Since then...

1. Random…"
1537165595929563137,2022-06-15 20:10:11+00:00,surfspup,"Kailua, HI","💛 #GetVaccinated From S.F. to Sonora, Aix to Thoiry, Siena to Alghero, Harlem to",RT @tnicholsmd: The FDA VRBPAC advisory committee voted 21-0 to recommend emergency use authorization of Moderna's 2 dose COVID vaccine ser…
1537165591949193216,2022-06-15 20:10:10+00:00,LarryHa36388267,,,"RT @JesseKellyDC: Dear America,

The government shut down your job, destroyed the value of your dollar, made you wear a useless mask, stopp…"
1537165591500431364,2022-06-15 20:10:10+00:00,johnnyjoe1083,"Missouri, USA","""If Samson could slay 1000 Philistines with only the jawbone of an ass, think of what God could do with a complete ass."" St. John Vianney","RT @JesseKellyDC: Dear America,

The government shut down your job, destroyed the value of your dollar, made you wear a useless mask, stopp…"
1537165589223026692,2022-06-15 20:10:10+00:00,volasher,The Tri ,God family Vols Titans Preds Braves Hit Chicks Fastpitch softball ☝🏼that’s my Girl,"RT @JesseKellyDC: Dear America,

The government shut down your job, destroyed the value of your dollar, made you wear a useless mask, stopp…"
1537165583409631233,2022-06-15 20:10:08+00:00,Krusty_M_D,,TRANSPIRING THE T-SHIRT,RT @Megmd514: The @US_FDA @CDCgov is making a mockery of the vaccine approval process.  Clearly the vaccine does not prevent symptomatic +c…
1537165583128702986,2022-06-15 20:10:08+00:00,seekdtruth44,"Miami Beach, FL.  Heaven. ",Questioning the Narrative. Always. Democracy is a Sham! your leaders are not there for you...but for the Rich and Powerful.  🌎 🇺🇲🇳🇬,@TopGlobalPro @hunt4fitness @LaurieFare1 @JesseKellyDC @OpenVAERS Answer the question...At least you admit opinions can be bought. Good start. Pfizer? Considering their history could they be putting profit above all again? Why not..check how much they made from the vaccine... stupendous amount. WHO? Biggest donators - Bill gates also
1537165582763667456,2022-06-15 20:10:08+00:00,trentster,Alpha Centauri,"I love design, philosophy, comedy, science, CNC & making things. Dog dude. I identify as vaccinated.","RT @GBNEWS: 'It's important for those of us who chose not to be vaccinated to be big enough to say we want to help.'

Actor John Bowe tells…"
1537165581505413121,2022-06-15 20:10:08+00:00,elleqt,Toronto,,RT @iamdavidmiller: Vaccine mandates have little or nothing to do with delays at Pearson- it’s lack of staff due to wages/poor working cond…
1537165580062580736,2022-06-15 20:10:08+00:00,kathleenponders,"Chapel Hill, NC","Artist: clarinetist, baby metal smith, watercolorist, music educator, Tar Heel wed, Cajun roots, former Bostonian. huge Caniac, unconventional Southern Belle.","RT @projectn95: BREAKING:
Unanimous vote of the #VRBPAC panel to recommend @US_FDA authorize the @Pfizer vaccine for children aged 6 months…"
1537165579093790721,2022-06-15 20:10:07+00:00,Rajeev_The_King,,South African 🇿🇦,"RT @InfectiousDz: Vaccine adverse event reporting is designed to be quite inclusive and not miss anything, even if no plausible connection…"
1537165572831690752,2022-06-15 20:10:06+00:00,kaetheherzog,Toronto,"Semi-retired political junkie (RealPolitiks); cheering on any/all progressive/democratic movements which work to improve our lives & home, earth.",RT @iamdavidmiller: Vaccine mandates have little or nothing to do with delays at Pearson- it’s lack of staff due to wages/poor working cond…
1537165572424728579,2022-06-15 20:10:06+00:00,DuaneBarbati,"Detroit, MI","Former Editor of the Alamogordo Daily News and Ruidoso News. Former Courts, Police and Fire reporter for the Alamogordo Daily News","RT @AP: BREAKING: FDA advisory panel backs first COVID-19 vaccine for the youngest children.

That means shots could be available as soon a…"
1537165572257062918,2022-06-15 20:10:06+00:00,blair_ostrom,,"Corp strategy & public affairs. Politico, brunch enthusiast, Frenchie-lover 🐕. @EdelmanPR / @Edelman_EGA. Formerly @McMillanVantage, #onpoli. 

Ottawa/Toronto.",RT @lraitt: Giving credit where it is due to @OmarAlghabra for 2 things. 1. Govt announcement today lifting vaccine mandates. It will make…
1537165571766095872,2022-06-15 20:10:06+00:00,Destiny34650835,,,@AP This is an experimental drug it's not a vaccine like the polio shot they have no idea what it will do to children it is going to alter their DNA
1537165571015720960,2022-06-15 20:10:05+00:00,JanniLeeSimner,"Tucson, AZ","Author of the Bones of Faerie trilogy, Thief Eyes, and Tiernay West, Professional Adventurer. Trying to leave this world a little better than I found it.","RT @AP: The FDA's vaccine advisers gave a thumbs-up to vaccines from Moderna and Pfizer for the youngest children.

If all the regulatory s…"
