id,created_at,user_screen_name,user_location,user_description,full_text
1536819491300167683,2022-06-14 21:14:54+00:00,OdinfallX,"Virginia, USA",On May 5th of 2019 I was attacked by racist Leesburg VA Officers. The city has yet to fire them for there illegal actions. Please help me see justice,"RT @ElektraMadrigan: 37 million seahorses per year are extracted from the oceans,many are traded as medicines, souvenirs or even eaten as s…"
1536818998075088896,2022-06-14 21:12:56+00:00,meowwsss,,Voice & echo of voiceless.           Retweets for @Dragofix & his following.,RT @Dragofix: Sewage pollution: We need action now - not in decades! #Britain #environment #rivers #water #waters #sewage #pollution https:…
1536818691349925888,2022-06-14 21:11:43+00:00,NoGoodNitrates,,,RT @Strange_Sounds: Oregon county declares state of emergency over water nitrate contamination #health #water #drinking #oregon #nitrate #p…
1536818583384342528,2022-06-14 21:11:17+00:00,JohnGrindle,West Dorset,🎣 fly fishing 🐙 spearfishing 🍷 wine lover 🍴cook 📷 photography 🔥 cooks with fire,"RT @UnderwaterMedia: At the end of the week I'm filming not only fish but sewage litter and other pollution on the river Severn.
Things you…"
1536817048067592192,2022-06-14 21:05:11+00:00,DawnRoseTurner,New Songhees (Esquimalt) BC,Perpetually curious,RT @FFF_SAJ: Do we need to do more to understand the climate costs of war? Or are there more urgent matters that are worth our attention an…
1536816986864226304,2022-06-14 21:04:57+00:00,DawnRoseTurner,New Songhees (Esquimalt) BC,Perpetually curious,"RT @FFF_Jour: The End of Oil, Explained | FULL EPISODE | 

By @voxdotcom and @netflix

https://t.co/BaVfCkwXm5

#FossilFuels
#ClimateCrisis…"
1536816737500295171,2022-06-14 21:03:57+00:00,DawnRoseTurner,New Songhees (Esquimalt) BC,Perpetually curious,"RT @FFF_Jour: If the US military were a nation state, it would be the 47th largest emitter in the world!! That is outrageous!

https://t.co…"
1536816488727949313,2022-06-14 21:02:58+00:00,beitris,"Toronto, Canada",..don't quite understand all this; but we will see how it goes.  FYI: many varied interests; there will be archaeology 🐞🍅🌽🌎🔬📚🎥🎶🎻🐉🌻🌾🍻 Nova Scotian,Racism drives environmental inequality — but most Americans don’t realize https://t.co/JaIkz9eJ8b #USA #Americans #inequality #poverty #racism #pollution #environment
1536816406594891776,2022-06-14 21:02:38+00:00,DawnRoseTurner,New Songhees (Esquimalt) BC,Perpetually curious,RT @FFF_SAJ: “Nuclear is just not part of any feasible strategy that could counter climate change.” Say the upper echelon of nuclear power.…
1536815807296114692,2022-06-14 21:00:15+00:00,hpxrsrjj,West Yorkshire,Just me.,"RT @UnderwaterMedia: At the end of the week I'm filming not only fish but sewage litter and other pollution on the river Severn.
Things you…"
1536815294362025984,2022-06-14 20:58:13+00:00,weatherfreakk,,Stereo Jungle Child,RT @Strange_Sounds: Oregon county declares state of emergency over water nitrate contamination #health #water #drinking #oregon #nitrate #p…
1536814851913310208,2022-06-14 20:56:27+00:00,nfteam3,Spain,"We are making team. Thx 2 @newfxfs DM for global cross-promotion. Enterprise Social Responsability. 
#f4f #Ifb","RT @UnderwaterMedia: At the end of the week I'm filming not only fish but sewage litter and other pollution on the river Severn.
Things you…"
1536813171662536704,2022-06-14 20:49:47+00:00,dickmatthias_aa,Beyond Heaven ,"#Worldsoul #Truth #Jesus
#Gandhi #Buddha #LGBTQ #Blacks
#TheResistance #StrongerTogether 
#AnimalRights R #HumanRights",RT @FournierFloren5: @_AnimalAdvocate @GretaThunberg @rickygervais @PeterEgan6 @Protect_Wldlife @Ivy_MiddletonUK @TrophyXpose @RobRobbEdwar…
1536812598288449536,2022-06-14 20:47:30+00:00,cawrecycles,"Sacramento, CA",Conserving Resources | Preventing Pollution | Protecting the Environment,"RT @NSACTION_US: Saving a Texan Bayou, ‘16 Bottles’ at a Time - A story on why we need a national bottle bill now!  ""Its the whole #Ecosyst…"
1536811608105799681,2022-06-14 20:43:34+00:00,Ulisse0672,,I ask you to judge me by the enemies I have made. F.D.Roosevelt.#Blacklivesmatter #Medicare4all;#GreenNewDeal,RT @arikring: @ProfStrachan @ECOWARRIORSS @MsFowlersays @ChristineMilne @mzjacobson @charluv2011 @ddelich @elder_jodi @devindthorpe @Amazin…
